equipment,equipment_type,pa_pct,operating_hours,downtime_scheduled,downtime_unscheduled,queue_time,total_events,scheduled_events,unscheduled_events,opportunistic_events,mean_queue_time_hrs
Truck-0,truck,92.3192,40435.8219,3344.288,8.0424,11.8477,342,340,1,1,0.0346
Truck-1,truck,92.2209,40392.7485,3290.6739,104.7823,11.7952,346,339,7,0,0.0341
Truck-2,truck,92.2497,40405.3824,3330.1277,34.681,29.8089,345,338,4,3,0.0864
Truck-3,truck,92.181,40375.2921,3355.9565,48.2502,20.5012,343,334,6,3,0.0598
Truck-4,truck,92.4006,40471.4663,3265.1986,42.6327,20.7024,344,340,4,0,0.0602
Truck-5,truck,92.4043,40473.0819,3254.3824,58.4505,14.0853,342,336,2,4,0.0412
Truck-6,truck,71.0215,31107.4056,2644.2976,0.0,20.2218,262,259,0,3,0.0772
Truck-7,truck,70.9405,31071.9222,2661.5317,26.065,8.2795,264,258,2,4,0.0314
Truck-8,truck,71.1553,31166.0022,2611.9008,14.7859,3.0896,263,260,2,1,0.0117
Truck-9,truck,71.1622,31169.0287,2434.9345,52.9762,19.8403,266,260,4,2,0.0746
Truck-10,truck,52.7912,23122.5659,1805.4589,9.7214,31.9149,195,191,1,3,0.1637
Truck-11,truck,52.627,23050.6207,1834.7633,42.2951,14.4467,197,189,5,3,0.0733
Truck-12,truck,52.588,23033.5446,1906.9687,31.859,13.8292,195,192,3,0,0.0709
Truck-13,truck,52.9177,23177.9711,1868.9094,6.6652,10.3988,197,195,1,1,0.0528
Truck-14,truck,52.6649,23067.2228,1873.789,23.2317,13.9033,198,194,2,2,0.0702
Shovel-0,shovel,94.6718,41466.2581,2185.9349,140.7684,7.0386,315,282,22,11,0.0223
Shovel-1,shovel,87.372,38268.9541,2052.1547,86.4455,4.676,280,256,13,11,0.0167
Shovel-2,shovel,72.461,31737.8993,1846.7144,113.4941,8.7308,239,215,16,8,0.0365
